case_name,case_dir,signal_path,gt_json,model_id,pred_MD,gt_MD,abs_err_MD,rel_err_MD,pred_FA,gt_FA,abs_err_FA,rel_err_FA,pred_uFA,gt_uFA,abs_err_uFA,rel_err_uFA,pred_C_c,gt_C_c,abs_err_C_c,rel_err_C_c,pred_C_MD,gt_C_MD,abs_err_C_MD,rel_err_C_MD
crossing_needles_2__signal_real_000,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2,C:\SynQTI-IR\data\Results_SNR_fit_2_MLP\crossing_needles_2\crossing_needles_2\SNR30\signal_real_000.nii,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2\crossing_needles_2__crossing_needles_2__GT_params.json,QTI_MLP_16P_sub_min_case_m_ENSAVG_18,0.7804973125457764,0.6333333333333333,0.14716397921244306,0.2323641777034906,0.7060220241546631,0.626608359990366,0.07941366416429707,0.12673572399415692,0.9652917385101318,0.9379366108168786,0.02735512769325321,0.02916522009882907,0.547314465045929,0.4463190184049082,0.10099544664102078,0.2262853306178625,0.0015654241433367133,-1.2003718489948148e-16,0.0015654241433368334,1565236256.7828665
crossing_needles_2__signal_real_001,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2,C:\SynQTI-IR\data\Results_SNR_fit_2_MLP\crossing_needles_2\crossing_needles_2\SNR30\signal_real_001.nii,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2\crossing_needles_2__crossing_needles_2__GT_params.json,QTI_MLP_16P_sub_min_case_m_ENSAVG_18,0.7942178249359131,0.6333333333333333,0.16088449160257978,0.2540281446352512,0.5769156813621521,0.626608359990366,0.049692678628213915,0.07930420626513605,0.8951234817504883,0.9379366108168786,0.04281312906639034,0.045646079460591044,0.41926711797714233,0.4463190184049082,0.02705190042776584,0.06061113085520207,0.0020666266791522503,-1.2003718489948148e-16,0.0020666266791523704,2066378636.8778632
crossing_needles_2__signal_real_002,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2,C:\SynQTI-IR\data\Results_SNR_fit_2_MLP\crossing_needles_2\crossing_needles_2\SNR30\signal_real_002.nii,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2\crossing_needles_2__crossing_needles_2__GT_params.json,QTI_MLP_16P_sub_min_case_m_ENSAVG_18,0.8540776371955872,0.6333333333333333,0.22074430386225385,0.3485436376766926,0.5804855823516846,0.626608359990366,0.046122777638681445,0.07360702566961758,0.9045804142951965,0.9379366108168786,0.03335619652168209,0.03556338044273116,0.4138379693031311,0.4463190184049082,0.03248104910177707,0.07277540898388726,0.028937889263033867,-1.2003718489948148e-16,0.02893788926303399,28934416057.183773
crossing_needles_2__signal_real_003,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2,C:\SynQTI-IR\data\Results_SNR_fit_2_MLP\crossing_needles_2\crossing_needles_2\SNR30\signal_real_003.nii,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2\crossing_needles_2__crossing_needles_2__GT_params.json,QTI_MLP_16P_sub_min_case_m_ENSAVG_18,0.9189842939376831,0.6333333333333333,0.2856509606043498,0.4510278325324718,0.5524377226829529,0.626608359990366,0.07417063730741313,0.11836841325965572,0.8488897681236267,0.9379366108168786,0.08904684269325192,0.09493908401294121,0.4212525188922882,0.4463190184049082,0.025066499512619966,0.05616274117591613,0.060691457241773605,-1.2003718489948148e-16,0.06069145724177372,60684172884.492714
crossing_needles_2__signal_real_004,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2,C:\SynQTI-IR\data\Results_SNR_fit_2_MLP\crossing_needles_2\crossing_needles_2\SNR30\signal_real_004.nii,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2\crossing_needles_2__crossing_needles_2__GT_params.json,QTI_MLP_16P_sub_min_case_m_ENSAVG_18,0.8161973357200623,0.6333333333333333,0.18286400238672895,0.2887326353470109,0.6036191582679749,0.626608359990366,0.02298920172239116,0.03668830994005239,0.9295323491096497,0.9379366108168786,0.008404261707228966,0.008960372812295352,0.4241708815097809,0.4463190184049082,0.02214813689512729,0.049624004314744445,0.009180985391139984,-1.2003718489948148e-16,0.009180985391140104,9179883463.771406
crossing_needles_2__signal_real_005,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2,C:\SynQTI-IR\data\Results_SNR_fit_2_MLP\crossing_needles_2\crossing_needles_2\SNR30\signal_real_005.nii,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2\crossing_needles_2__crossing_needles_2__GT_params.json,QTI_MLP_16P_sub_min_case_m_ENSAVG_18,0.7457708716392517,0.6333333333333333,0.1124375383059184,0.17753295521959087,0.5793240070343018,0.626608359990366,0.04728435295606426,0.075460775781408,0.9459465742111206,0.9379366108168786,0.008009963394241981,0.008539983727959303,0.38122373819351196,0.4463190184049082,0.06509528021139621,0.1458492188925609,-0.009568688459694386,-1.2003718489948148e-16,0.009568688459694266,9567539999.126358
crossing_needles_2__signal_real_006,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2,C:\SynQTI-IR\data\Results_SNR_fit_2_MLP\crossing_needles_2\crossing_needles_2\SNR30\signal_real_006.nii,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2\crossing_needles_2__crossing_needles_2__GT_params.json,QTI_MLP_16P_sub_min_case_m_ENSAVG_18,0.8016747236251831,0.6333333333333333,0.1683413902918498,0.2658021951972379,0.6002737879753113,0.626608359990366,0.026334572015054736,0.042027163530690206,0.9353232979774475,0.9379366108168786,0.0026133128394311145,0.0027862360945184895,0.4137722849845886,0.4463190184049082,0.03254673342031955,0.07292257797251132,0.007235052064061165,-1.2003718489948148e-16,0.0072350520640612846,7234183693.015729
crossing_needles_2__signal_real_007,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2,C:\SynQTI-IR\data\Results_SNR_fit_2_MLP\crossing_needles_2\crossing_needles_2\SNR30\signal_real_007.nii,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2\crossing_needles_2__crossing_needles_2__GT_params.json,QTI_MLP_16P_sub_min_case_m_ENSAVG_18,0.8435144424438477,0.6333333333333333,0.21018110911051435,0.3318649091213408,0.5946694016456604,0.626608359990366,0.031938958344705615,0.050971165378555915,0.9012627005577087,0.9379366108168786,0.036673910259169884,0.03910062773558899,0.4381467401981354,0.4463190184049082,0.008172278206772798,0.018310396531972247,0.028515074402093887,-1.2003718489948148e-16,0.02851507440209401,28511651943.657856
crossing_needles_2__signal_real_008,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2,C:\SynQTI-IR\data\Results_SNR_fit_2_MLP\crossing_needles_2\crossing_needles_2\SNR30\signal_real_008.nii,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2\crossing_needles_2__crossing_needles_2__GT_params.json,QTI_MLP_16P_sub_min_case_m_ENSAVG_18,0.7571648359298706,0.6333333333333333,0.1238315025965373,0.19552342515211862,0.6372215747833252,0.626608359990366,0.01061321479295918,0.016937556966372773,0.9546454548835754,0.9379366108168786,0.016708844066696815,0.01781447048124792,0.4526422917842865,0.4463190184049082,0.006323273379378325,0.014167609083661267,0.0033533733803778887,-1.2003718489948148e-16,0.003353373380378009,3352970899.19022
crossing_needles_2__signal_real_009,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2,C:\SynQTI-IR\data\Results_SNR_fit_2_MLP\crossing_needles_2\crossing_needles_2\SNR30\signal_real_009.nii,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2\crossing_needles_2__crossing_needles_2__GT_params.json,QTI_MLP_16P_sub_min_case_m_ENSAVG_18,0.8460037708282471,0.6333333333333333,0.21267043749491377,0.3357954276230179,0.5436198115348816,0.626608359990366,0.08298854845548442,0.13244085740673475,0.8881930708885193,0.9379366108168786,0.04974353992835934,0.053035076522903915,0.3725193440914154,0.4463190184049082,0.07379967431349277,0.16535184760236926,0.0381978377699852,-1.2003718489948148e-16,0.03819783776998532,38193253159.393906
crossing_needles_2__signal_real_010,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2,C:\SynQTI-IR\data\Results_SNR_fit_2_MLP\crossing_needles_2\crossing_needles_2\SNR30\signal_real_010.nii,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2\crossing_needles_2__crossing_needles_2__GT_params.json,QTI_MLP_16P_sub_min_case_m_ENSAVG_18,0.7915651798248291,0.6333333333333333,0.1582318464914958,0.24983975761775679,0.5971980690956116,0.626608359990366,0.029410290894754443,0.04693568227394809,0.9271978735923767,0.9379366108168786,0.010738737224501915,0.0114493208822905,0.4190621078014374,0.4463190184049082,0.027256910603470796,0.061070466369151664,0.008043350651860237,-1.2003718489948148e-16,0.008043350651860357,8042385266.57308
