case_name,case_dir,signal_path,gt_json,gt_V,pred_V,gt_FA,pred_MD,gt_MD,abs_err_MD,rel_err_MD,pred_FA,abs_err_FA,rel_err_FA,pred_uFA,gt_uFA,abs_err_uFA,rel_err_uFA,pred_C_c,gt_C_c,abs_err_C_c,rel_err_C_c,pred_C_MD,gt_C_MD,abs_err_C_MD,rel_err_C_MD
crossing_needles_2__signal_real_000,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2,C:\SynQTI-IR\data\Results_SNR_fit_2_MLP\crossing_needles_2\crossing_needles_2\SNR30\signal_real_000.nii,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2\crossing_needles_2__crossing_needles_2__GT_params.json,0.0,-0.003604267715787367,0.626608359990366,0.7303284406661987,0.6333333333333333,0.09699510733286543,0.1531501694727036,0.6883055567741394,0.06169719678377339,0.09846213476089516,0.9799179434776306,0.9379366108168786,0.04198133266075199,0.044759242977139325,0.5048286318778992,,,,-0.0067574153654277325,-1.2003718489948148e-16,0.006757415365427613,6756604321.66536
crossing_needles_2__signal_real_001,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2,C:\SynQTI-IR\data\Results_SNR_fit_2_MLP\crossing_needles_2\crossing_needles_2\SNR30\signal_real_001.nii,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2\crossing_needles_2__crossing_needles_2__GT_params.json,0.0,-0.0015005353688157988,0.626608359990366,0.7224940657615662,0.6333333333333333,0.08916073242823286,0.1407801038338296,0.6486124992370605,0.022004139246694532,0.03511625546616985,0.96300208568573,0.9379366108168786,0.025065474868851356,0.026724060645201084,0.4650059938430786,,,,-0.0028746016323566437,-1.2003718489948148e-16,0.0028746016323565235,2874256614.683818
crossing_needles_2__signal_real_002,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2,C:\SynQTI-IR\data\Results_SNR_fit_2_MLP\crossing_needles_2\crossing_needles_2\SNR30\signal_real_002.nii,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2\crossing_needles_2__crossing_needles_2__GT_params.json,0.0,0.006790888659046377,0.626608359990366,0.7975589036941528,0.6333333333333333,0.16422557036081953,0.259303532148253,0.6706968545913696,0.044088494601003614,0.0703605272703529,0.9475278854370117,0.9379366108168786,0.009591274620133095,0.010225930526125348,0.5100752115249634,,,,0.010675815865397453,-1.2003718489948148e-16,0.010675815865397573,10674534524.32316
crossing_needles_2__signal_real_003,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2,C:\SynQTI-IR\data\Results_SNR_fit_2_MLP\crossing_needles_2\crossing_needles_2\SNR30\signal_real_003.nii,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2\crossing_needles_2__crossing_needles_2__GT_params.json,0.0,0.016476901069397868,0.626608359990366,0.8462962508201599,0.6333333333333333,0.2129629174868266,0.3362572381365637,0.6450213193893433,0.018412959398977247,0.029385116086275895,0.9245483875274658,0.9379366108168786,0.013388223289412804,0.014274123789387328,0.48958125710487366,,,,0.023005448281764984,-1.2003718489948148e-16,0.023005448281765106,23002687103.960022
crossing_needles_2__signal_real_004,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2,C:\SynQTI-IR\data\Results_SNR_fit_2_MLP\crossing_needles_2\crossing_needles_2\SNR30\signal_real_004.nii,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2\crossing_needles_2__crossing_needles_2__GT_params.json,0.0,0.0012159019315216156,0.626608359990366,0.7794245481491089,0.6333333333333333,0.14609121481577558,0.23067033918243934,0.6195688843727112,0.007039475617654833,0.011234251036407862,0.9284689426422119,0.9379366108168786,0.00946766817466671,0.010094145025867926,0.4489915072917938,,,,0.0020014760084450245,-1.2003718489948148e-16,0.0020014760084451446,2001235785.7351048
crossing_needles_2__signal_real_005,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2,C:\SynQTI-IR\data\Results_SNR_fit_2_MLP\crossing_needles_2\crossing_needles_2\SNR30\signal_real_005.nii,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2\crossing_needles_2__crossing_needles_2__GT_params.json,0.0,0.007083729941382052,0.626608359990366,0.82962965965271,0.6333333333333333,0.19629632631937666,0.3099415678722106,0.6553853750228882,0.02877701503252217,0.04592504165268189,0.9500030875205994,0.9379366108168786,0.012066476703720741,0.012864917057879637,0.48073312640190125,,,,0.010291850194334984,-1.2003718489948148e-16,0.010291850194335104,10290614937.887075
crossing_needles_2__signal_real_006,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2,C:\SynQTI-IR\data\Results_SNR_fit_2_MLP\crossing_needles_2\crossing_needles_2\SNR30\signal_real_006.nii,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2\crossing_needles_2__crossing_needles_2__GT_params.json,0.0,-0.007564820418691754,0.626608359990366,0.746710479259491,0.6333333333333333,0.11337714592615766,0.17901654619891366,0.6197600960731506,0.00684826391721538,0.010929097590255166,0.9634382724761963,0.9379366108168786,0.025501661659317665,0.027189109973093248,0.4221418499946594,,,,-0.013567321933805943,-1.2003718489948148e-16,0.013567321933805823,13565693546.141335
crossing_needles_2__signal_real_007,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2,C:\SynQTI-IR\data\Results_SNR_fit_2_MLP\crossing_needles_2\crossing_needles_2\SNR30\signal_real_007.nii,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2\crossing_needles_2__crossing_needles_2__GT_params.json,0.0,-0.006649201011479333,0.626608359990366,0.7492261528968811,0.6333333333333333,0.1158928195635478,0.18298866246847076,0.6156018972396851,0.011006462750680956,0.017565138694977854,0.9420785903930664,0.9379366108168786,0.004141979576187782,0.004416054910764156,0.43430477380752563,,,,-0.011845232918858528,-1.2003718489948148e-16,0.011845232918858408,11843811221.100946
crossing_needles_2__signal_real_008,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2,C:\SynQTI-IR\data\Results_SNR_fit_2_MLP\crossing_needles_2\crossing_needles_2\SNR30\signal_real_008.nii,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2\crossing_needles_2__crossing_needles_2__GT_params.json,0.0,0.03925524860808554,0.626608359990366,0.8840609788894653,0.6333333333333333,0.25072764555613203,0.39588575614063604,0.5711885690689087,0.055419790921457324,0.08844406563969391,0.8687593936920166,0.9379366108168786,0.06917721712486202,0.07375468270136043,0.42759111523628235,,,,0.050226543098688126,-1.2003718489948148e-16,0.050226543098688244,50220514769.47111
crossing_needles_2__signal_real_009,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2,C:\SynQTI-IR\data\Results_SNR_fit_2_MLP\crossing_needles_2\crossing_needles_2\SNR30\signal_real_009.nii,C:\SynQTI-IR\data\Results_2_MLP\crossing_needles_2\crossing_needles_2\crossing_needles_2__crossing_needles_2__GT_params.json,0.0,-0.00634688759257053,0.626608359990366,0.7765130996704102,0.6333333333333333,0.14317976633707685,0.22607331526871177,0.6220307946205139,0.004577565369852099,0.007305305294546618,0.9515817165374756,0.9379366108168786,0.013645105720596962,0.014548004164906689,0.4334808588027954,,,,-0.010525996796786785,-1.2003718489948148e-16,0.010525996796786665,10524733437.413021
